Event iteration details;;;;Time;Type(s) logged in dslog
Iteration;Event type;Expression;Result

1;4;multiZone.theZon[1, 1].intLoad.nextTimeEventScaled < 1.7976931348623157E+308;true
1;4;multiZone.theZon[2, 1].intLoad.nextTimeEventScaled < 1.7976931348623157E+308;true
1;4;multiZone.theZon[3, 1].intLoad.nextTimeEventScaled < 1.7976931348623157E+308;true
1;4;multiZone.theZon[4, 1].intLoad.nextTimeEventScaled < 1.7976931348623157E+308;true
1;4;multiZone.theZon[5, 1].intLoad.nextTimeEventScaled < 1.7976931348623157E+308;true
1;4;multiZone.theZon[6, 1].intLoad.nextTimeEventScaled < 1.7976931348623157E+308;true
1;4;multiZone.portsIn[1, 1].p >= 0.0;true
1;4;multiZone.portsIn[1, 1].Xi_outflow[1] >= -1E-05;true
1;4;multiZone.portsIn[1, 1].Xi_outflow[1] <= 1.00001;true
1;4;weaDat.TDryBul_in_internal > weaDat.cheTemDryBul.TMin;true
1;4;weaDat.TDryBul_in_internal < weaDat.cheTemDryBul.TMax;true
1;4;weaDat.TDryBul_in_internal >= 200.0;true
1;4;weaDat.TDryBul_in_internal <= 423.15;true
1;4;weaDat.TDewPoi_in_internal > weaDat.cheTemDewPoi.TMin;true
1;4;weaDat.TDewPoi_in_internal < weaDat.cheTemDewPoi.TMax;true
1;4;weaDat.TBlaSky_in_internal > weaDat.cheTemBlaSky.TMin;true
1;4;weaDat.TBlaSky_in_internal < weaDat.cheTemBlaSky.TMax;true
1;4;multiZone.theZon[1, 1].roo.air.vol.dynBal.medium.T >= 200.0;true
1;4;multiZone.theZon[1, 1].roo.air.vol.dynBal.medium.T <= 423.15;true
1;4;multiZone.portsIn[2, 1].p >= 0.0;true
1;4;multiZone.portsIn[2, 1].Xi_outflow[1] >= -1E-05;true
1;4;multiZone.portsIn[2, 1].Xi_outflow[1] <= 1.00001;true
1;4;multiZone.theZon[2, 1].roo.air.vol.dynBal.medium.T >= 200.0;true
1;4;multiZone.theZon[2, 1].roo.air.vol.dynBal.medium.T <= 423.15;true
1;4;multiZone.portsIn[3, 1].p >= 0.0;true
1;4;multiZone.portsIn[3, 1].Xi_outflow[1] >= -1E-05;true
1;4;multiZone.portsIn[3, 1].Xi_outflow[1] <= 1.00001;true
1;4;multiZone.theZon[3, 1].roo.air.vol.dynBal.medium.T >= 200.0;true
1;4;multiZone.theZon[3, 1].roo.air.vol.dynBal.medium.T <= 423.15;true
1;4;multiZone.portsIn[4, 1].p >= 0.0;true
1;4;multiZone.portsIn[4, 1].Xi_outflow[1] >= -1E-05;true
1;4;multiZone.portsIn[4, 1].Xi_outflow[1] <= 1.00001;true
1;4;multiZone.theZon[4, 1].roo.air.vol.dynBal.medium.T >= 200.0;true
1;4;multiZone.theZon[4, 1].roo.air.vol.dynBal.medium.T <= 423.15;true
1;4;multiZone.portsIn[5, 1].p >= 0.0;true
1;4;multiZone.portsIn[5, 1].Xi_outflow[1] >= -1E-05;true
1;4;multiZone.portsIn[5, 1].Xi_outflow[1] <= 1.00001;true
1;4;multiZone.theZon[5, 1].roo.air.vol.dynBal.medium.T >= 200.0;true
1;4;multiZone.theZon[5, 1].roo.air.vol.dynBal.medium.T <= 423.15;true
1;4;multiZone.portsIn[6, 1].p >= 0.0;true
1;4;multiZone.portsIn[6, 1].Xi_outflow[1] >= -1E-05;true
1;4;multiZone.portsIn[6, 1].Xi_outflow[1] <= 1.00001;true
1;4;multiZone.theZon[6, 1].roo.air.vol.dynBal.medium.T >= 200.0;true
1;4;multiZone.theZon[6, 1].roo.air.vol.dynBal.medium.T <= 423.15;true
1;4;multiZone.theZon[1, 1].intLoad.nextTimeEvent;29912.4612024293
1;4;multiZone.theZon[1, 1].intLoad.nextTimeEventScaled;29912.4612024293
1;4;multiZone.theZon[2, 1].intLoad.nextTimeEvent;28112.46125314218
1;4;multiZone.theZon[2, 1].intLoad.nextTimeEventScaled;28112.46125314218
1;4;multiZone.theZon[3, 1].intLoad.nextTimeEvent;28112.46106966126
1;4;multiZone.theZon[3, 1].intLoad.nextTimeEventScaled;28112.46106966126
1;4;multiZone.theZon[4, 1].intLoad.nextTimeEvent;29912.46108903185
1;4;multiZone.theZon[4, 1].intLoad.nextTimeEventScaled;29912.46108903185
1;4;multiZone.theZon[5, 1].intLoad.nextTimeEvent;30600
1;4;multiZone.theZon[5, 1].intLoad.nextTimeEventScaled;30600
1;4;multiZone.theZon[6, 1].intLoad.nextTimeEvent;29912.46131582674
1;4;multiZone.theZon[6, 1].intLoad.nextTimeEventScaled;29912.46131582674
1;4;weaDat.modTim.y-pre(weaDat.conTim.tStart) > 31536000;false
1;4;multiZone.theZon[1, 1].sinInf.medium.X[1] >= -1E-05;true
1;4;multiZone.theZon[1, 1].sinInf.medium.X[1] <= 1.00001;true
1;4;weaDat.add.y-pre(weaDat.conTim1.tStart) > 31536000;false
1;4;multiZone.theZon[2, 1].sinInf.medium.X[1] >= -1E-05;true
1;4;multiZone.theZon[2, 1].sinInf.medium.X[1] <= 1.00001;true
1;4;multiZone.theZon[3, 1].sinInf.medium.X[1] >= -1E-05;true
1;4;multiZone.theZon[3, 1].sinInf.medium.X[1] <= 1.00001;true
1;4;multiZone.theZon[4, 1].sinInf.medium.X[1] >= -1E-05;true
1;4;multiZone.theZon[4, 1].sinInf.medium.X[1] <= 1.00001;true
1;4;multiZone.theZon[5, 1].sinInf.medium.X[1] >= -1E-05;true
1;4;multiZone.theZon[5, 1].sinInf.medium.X[1] <= 1.00001;true
